CID_MEESHOSKU_SIZE,SKU,TOTAL,
"151105-ALC2069PCH-L","ALC2069PCH-L","2",
"151105-ALC2069PCH-XS","ALC2069PCH-XS","22",
"789657-ALC2069PCH-XS","ALC2069PCH-XS","22",
"693536-ALC2069PCH-XS","ALC2069PCH-XS","22",
"788134-ALC2069PCH-XS","ALC2069PCH-XS","22",
"3737135-ALC2069PCH1-XS","ALC2069PCH-XS","22",
"789546-ALC2069PCH-XS","ALC2069PCH-XS","22",
"3740133-ALC2070NAVY4-S","ALC2070NAVY-S","10",
"540436-ALC2070NAVY_3-S","ALC2070NAVY-S","10",
"3737135-ALC2070NAVY1-S","ALC2070NAVY-S","10",
"3740133-ALC2070NAVY4-XS","ALC2070NAVY-XS","239",
"540436-ALC2070NAVY_3-XS","ALC2070NAVY-XS","239",
"3737135-ALC2070NAVY1-XS","ALC2070NAVY-XS","239",
"540436-ALC2070NAVY_3-XXL","ALC2070NAVY-XXL","26",
"3737135-ALC2070NAVY1-XXL","ALC2070NAVY-XXL","26",
"3740133-ALC2070NAVY4-XXL","ALC2070NAVY-XXL","26",
"3737135-ALC2070ZB1-L","ALC2070ZB-L","129",
"3739151-ALC2070ZB3-L","ALC2070ZB-L","129",
"540436-ALC2070ZB_4-L","ALC2070ZB-L","129",
"3737135-ALC2070ZB1-M","ALC2070ZB-M","91",
"3739151-ALC2070ZB3-M","ALC2070ZB-M","91",
"540436-ALC2070ZB_4-M","ALC2070ZB-M","91",
"3737135-ALC2070ZB1-S","ALC2070ZB-S","102",
"3739151-ALC2070ZB3-S","ALC2070ZB-S","102",
"540436-ALC2070ZB_4-S","ALC2070ZB-S","102",
"3737135-ALC2070ZB1-XL","ALC2070ZB-XL","123",
"3739151-ALC2070ZB3-XL","ALC2070ZB-XL","123",
"540436-ALC2070ZB_4-XL","ALC2070ZB-XL","123",
"3737135-ALC2070ZB1-XS","ALC2070ZB-XS","132",
"3739151-ALC2070ZB3-XS","ALC2070ZB-XS","132",
"540436-ALC2070ZB_4-XS","ALC2070ZB-XS","132",
"3739151-ALC2070ZB3-XXL","ALC2070ZB-XXL","170",
"540436-ALC2070ZB_4-XXL","ALC2070ZB-XXL","170",
"3737135-ALC2070ZB1-XXL","ALC2070ZB-XXL","170",
"540436-ALC2078_5-L","ALC2078GREY-L","90",
"540436-ALC2078_5-M","ALC2078GREY-M","83",
"540436-ALC2078_5-S","ALC2078GREY-S","15",
"540436-ALC2078_5-XL","ALC2078GREY-XL","46",
"540436-ALC2078_5-XS","ALC2078GREY-XS","2",
"540436-ALC2078_5-XXL","ALC2078GREY-XXL","54",
"789657-ALC2079TEAL-L","ALC2079TEAL-L","171",
"788134-ALC2079TEAL-L","ALC2079TEAL-L","171",
"5255590-TDC2079TEAL-L","ALC2079TEAL-L","171",
"693536-ALC2079TEAL-L","ALC2079TEAL-L","171",
"789546-ALC2079TEAL-L","ALC2079TEAL-L","171",
"151105-ALC2079TEAL-L","ALC2079TEAL-L","171",
"151105-ALC2079TEAL-M","ALC2079TEAL-M","503",
"789657-ALC2079TEAL-M","ALC2079TEAL-M","503",
"788134-ALC2079TEAL-M","ALC2079TEAL-M","503",
"5255590-TDC2079TEAL-M","ALC2079TEAL-M","503",
"693536-ALC2079TEAL-M","ALC2079TEAL-M","503",
"789546-ALC2079TEAL-M","ALC2079TEAL-M","503",
"788134-ALC2079TEAL-XL","ALC2079TEAL-XL","256",
"5255590-TDC2079TEAL-XL","ALC2079TEAL-XL","256",
"693536-ALC2079TEAL-XL","ALC2079TEAL-XL","256",
"789546-ALC2079TEAL-XL","ALC2079TEAL-XL","256",
"151105-ALC2079TEAL-XL","ALC2079TEAL-XL","256",
"789657-ALC2079TEAL-XL","ALC2079TEAL-XL","256",
"789546-ALC2079TEAL-XS","ALC2079TEAL-XS","31",
"151105-ALC2079TEAL-XS","ALC2079TEAL-XS","31",
"789657-ALC2079TEAL-XS","ALC2079TEAL-XS","31",
"788134-ALC2079TEAL-XS","ALC2079TEAL-XS","31",
"5255590-TDC2079TEAL-XS","ALC2079TEAL-XS","31",
"693536-ALC2079TEAL-XS","ALC2079TEAL-XS","31",
"5255590-TDC2079TEAL-XXL","ALC2079TEAL-XXL","257",
"693536-ALC2079TEAL-XXL","ALC2079TEAL-XXL","257",
"789546-ALC2079TEAL-XXL","ALC2079TEAL-XXL","257",
"151105-ALC2079TEAL-XXL","ALC2079TEAL-XXL","257",
"789657-ALC2079TEAL-XXL","ALC2079TEAL-XXL","257",
